68, demonstration, a show or display
69, demonstrative, a pronoun that points out an intended referent
70, development, a process in which something passes to a different stage
71, evaluation, act of ascertaining or fixing the value or worth of
72, strategy, an elaborate and systematic plan of action
73, strategic, relating to an elaborate and systematic plan of action
74, substitute, a person or thing that can take the place of another
75, conference, a prearranged meeting for consultation or discussion 
76, accommodate, have room for; hold without crowding
77, attend, be present
78, location, the act of putting something in a certain place
79, register, an official written record of names or events
80, select, pick out or choose from a number of alternatives
81, session, a meeting for execution of a group's functions
82, accommodation, making or becoming suitable; adjusting to circumstances
83, accommodating, obliging; willing to do favors
84, arrange, put into a proper or systematic order
85, associate, bring or come into action
86, associate, bring or come into action
87, attendance, the act of being present at a meeting or event
88, selection, the act of choosing
89, selective, characterized by very careful or fastidious choice
90, register, an official written record of names or events
91, registration, the act of enrolling
92, access, the right to enter
93, allocate, distribute according to a plan or set apart for a purpose
94, compatible, able to exist and perform in harmonious combination
95, delete, cut or eliminate
96, display, something intended to communicate a particular impression
97, duplicate, a copy that corresponds to an original exactly
98, failure, an act that does not succeed
99, ignore, refuse to acknowledge
100, search, look or seek
101, accessible, capable of being reached
102, allocation, the act of distributing by allotting or apportioning
103, capacity, capability to perform or produce
104, durable, existing for a long time
105, initiative, readiness to embark on bold new ventures
106, recur, happen or occur again
107, reduction, the act of decreasing something
108, stock, a supply of something available for future use
109, afford, have the financial means to do something or buy something
110, initiative, readiness to embark on bold new ventures
111, initiation, the act of starting something for the first time
112, physical, involving the body as distinguished from the mind or spirit
113, provision, the activity of supplying something
114, recurrence, happening again, especially at regular intervals
115, reduction, the act of decreasing something
116, appreciation, understanding of the nature or meaning of something
117, code, a set of rules or principles or laws
118, expose, show; make visible or apparent
119, glimpse, a brief or incomplete view
120, practice, a customary way of operation or behavior
121, reinforce, strengthen and support with rewards
122, appreciate, be fully aware of; realize fully
123, exposure, the state of being vulnerable to something
124, practical, guided by experience and observation rather than theory
125, reinforcement, an act performed to strengthen approved behavior
126, verbalize, express in speech
127, verbal, of or relating to or formed from words in general
128, facilitate, make easier
129, network, an open fabric woven together at regular intervals
130, process, a particular course of action intended to achieve a result
131, replace, put something back where it belongs
132, revolution, a single complete turn
133, skill, an ability that has been acquired by training
134, software, written programs operating on a computer system 
135, store, a mercantile establishment for the sale of goods or services
136, revolution, a single complete turn
137, revolutionary, markedly new or introducing radical change
138, technical, of or relating to aptitude in a practical skill
139, assemble, create by putting components or members together
140, courier, a person who carries a message
141, mention, make reference to
142, petition, a formal request that something be submitted to an authority
143, register, an official written record of names or events
144, revise, make changes to
145, complicate, make less simple
146, complicated, difficult to analyze or understand
147, registration, the act of enrolling
148, revised, improved or brought up to date
149, revision, the act of altering 
150, abundant, present in great quantity
151, accomplishment, the action of achieving something
152, candidate, someone who is considered for something
153, commensurate, corresponding in size or degree or extent
154, profile, an outline of something, especially a face from the side
155, qualification, the act of modifying or changing the strength of some idea
156, recruit, cause to assemble or enlist in the military
157, submit, yield to the control of another
158, accomplish, to gain with effort
159, profile, an outline of something, especially a face from the side
160, qualify, describe or portray the character or peculiarities of
161, qualified, meeting the proper standards and requirements for a task
162, ability, having the means or skills to do something
163, apply, employ for a particular purpose
164, background, the part of a scene behind objects in the foreground
165, confidence, freedom from doubt; belief in yourself and your abilities
166, expert, a person with special knowledge who performs skillfully
167, hesitant, unable to act or decide quickly or firmly
168, application, the action of putting something into operation
169, confidence, freedom from doubt; belief in yourself and your abilities
170, expertise, skillfulness by virtue of possessing special knowledge
171, expert, a person with special knowledge who performs skillfully
172, hesitation, the act of pausing uncertainly
173, presentation, the activity of formally giving something, as a prize
174, presentation, the activity of formally giving something, as a prize
175, conduct, the way a person behaves toward other people
176, generate, bring into existence
177, mentor, a wise and trusted guide and advisor
178, reject, refuse to accept or acknowledge
179, success, an event that accomplishes its intended purpose
180, conductor, the person who leads a musical group
181, rejection, the act of turning something down
182, succeed, attain success or reach a desired goal
183, basis, the fundamental assumptions from which something is begun
184, aware, having or showing knowledge or understanding or realization
185, benefit, something that aids or promotes well-being
186, compensate, make amends for
187, eligible, qualified for or allowed or worthy of being chosen
188, negotiate, discuss the terms of an arrangement
189, raise, move upwards
190, retire, withdraw from active participation
191, base, lowest support of a structure
192, beneficial, promoting or enhancing well-being
193, compensation, the act of making amends for service or loss or injury
194, flexible, able to bend easily
195, flexibility, the property of being easily bent or shaped
196, negotiation, a discussion intended to produce an agreement
197, achievement, the action of accomplishing something
198, contribute, provide
199, dedication, complete and wholehearted fidelity
200, loyal, steadfast in allegiance or duty
201, merit, the quality of being deserving
202, obviously, unmistakably
203, productive, capable of bringing forth, especially abundantly
204, promote, assign to a higher position
205, recognition, identifying something or someone by remembering
206, value, the quality that renders something desirable
207, achieve, to gain with effort
208, contribution, a voluntary gift made to some worthwhile cause
209, contributor, a writer published in a periodical or as part of a book
210, dedicate, give entirely to a specific person, activity, or cause
211, loyalty, the quality of being loyal
212, product, an artifact that has been created by someone or some process
213, promotion, act of raising in rank or position
214, promoter, someone who is an active supporter and advocate
215, bargain, an agreement between parties fixing obligations of each
216, behavior, the way a person acts toward other people
217, comfort, a state of being relaxed and feeling no pain
218, expand, extend in one or more directions
219, explore, travel to or penetrate into
220, item, a distinct part that can be specified separately in a group
221, mandatory, required by rule
222, merchandise, commodities offered for sale
223, trend, a general tendency to change, as of opinion
224, comfortable, providing or experiencing physical well-being or relief
225, expansion, the act of increasing in size or volume or quantity or scope
226, expanded, increased in extent or size or bulk or scope
227, exploration, to travel for the purpose of discovery
228, mandate, a document giving an official instruction or command
229, strict, rigidly accurate; allowing no deviation from a standard
230, diversify, vary in order to spread risk or to expand
231, enterprise, a purposeful or industrious undertaking
232, essentially, at bottom or by something's very nature
233, everyday, commonplace and ordinary
234, function, what something is used for
235, maintain, keep in a certain state, position, or activity
236, obtain, come into possession of
237, prerequisite, something that is required in advance
238, quality, an essential and distinguishing attribute of something
239, smooth, having a surface free from roughness or irregularities
240, source, the place where something begins
241, stationery, paper cut to an appropriate size for writing letters
242, diverse, distinctly dissimilar or unlike
243, enterprising, marked by initiative and readiness to undertake new projects
244, essential, basic and fundamental
245, essence, the choicest or most vital part of some idea or experience
246, functional, designed for or capable of a particular use
247, carrier, a person or firm transporting people or goods or messages
248, fulfill, fill or meet a want or need
249, inventory, a detailed list of all the items in stock
250, minimize, make small or insignificant
251, supply, circulate or distribute or equip with
252, accuracy, the quality of being near to the true value
253, accurate, characterized by perfect conformity to fact or truth 
254, integrate, make into a whole or make part of a whole
255, integration, the act of combining into a whole
256, minimal, the least possible
257, minimum, the smallest possible quantity
258, suffice, be adequate, either in quality or quantity
259, sufficient, of a quantity that can fulfill a need or requirement
260, compile, get or gather together
261, discount, an amount or percentage deducted
262, efficient, being effective without wasting time or effort or expense
263, estimate, judge tentatively
264, impose, charge and collect payment
265, mistake, a wrong action attributable to bad judgment or inattention
266, promptly, with little or no delay
267, rectify, make right or correct
268, efficient, being effective without wasting time or effort or expense
269, estimation, an approximate calculation of quantity or degree or worth
270, imposition, the act of enforcing something 
271, imposing, used of a person's appearance or behavior
272, prompt, according to schedule or without delay
273, adjustment, the act of making something different
274, crucial, of extreme importance; vital to the resolution of a crisis
275, discrepancy, a difference between conflicting facts or claims or opinions
276, disturb, move deeply
277, liability, the state of being legally obliged and responsible
278, reflection, the phenomenon of a propagating wave being thrown back
279, tedious, so lacking in interest as to cause mental weariness
280, verify, confirm the truth of
281, adjust, alter or regulate so as to conform to a standard
282, automatic, operating with minimal human intervention
283, automation, the act of implementing the control of equipment
284, reflect, to throw or bend back from a surface
285, accept, receive willingly something given or offered
286, balance, harmonious arrangement or relation of parts within a whole 
287, borrow, get temporarily
288, dividend, a number to be divided by another number
289, mortgage, a conveyance of property as security for repaying a loan
290, restricted, subject to an act of limitation
291, signature, your name written in your own handwriting
292, transaction, conducting business within or between groups
293, acceptance, the state of being satisfactory
294, acceptable, worthy of approval or satisfactory
295, caution, judiciousness in avoiding harm or danger
296, cautious, showing careful forethought
297, deduction, the act of removing a part from the whole
298, restrict, limit access to
299, restriction, an act of limiting
300, transact, conduct business
301, accumulate, get or gather together
302, asset, a useful or valuable quality
303, audit, examine carefully for accuracy
304, budget, a summary of intended expenditures
305, debt, the state of owing something, especially money
306, outstanding, of major significance or importance
307, reconcile, come to terms
308, accumulation, the act of gathering up
309, profit, the advantageous quality of being beneficial
310, attitude, a complex mental state involving beliefs and feelings
311, commit, engage in or perform
312, conservative, resistant to change
313, fund, a reserve of money set aside for some purpose
314, invest, lay out money or resources in an enterprise
315, portfolio, a large, thin case for loose papers or drawings or maps
316, resource, aid or support that may be drawn upon when needed
317, aggression, a disposition to behave forcefully and energetically
318, commitment, the act of binding yourself to a course of action
319, noncommittal, refusing to bind oneself to a particular course of action
320, conserve, keep in safety and protect from harm, loss, or destruction
321, investment, laying out money or capital in an enterprise
322, investor, someone who commits capital to gain financial returns
323, wisdom, accumulated knowledge or erudition or enlightenment
324, wise, having intelligence and discernment
325, joint, junction by which parts or objects are linked together
326, preparation, setting in order in advance some act or purpose
327, desire, the feeling that accompanies an unsatisfied state
328, forecast, a prediction about how something will develop
329, level, a relative position or degree of value in a graded group
330, overall, including everything
331, perspective, a way of regarding situations or topics
332, project, a planned undertaking
333, realistic, aware or expressing awareness of things as they are
334, target, a reference point to shoot at
335, translation, rendering in another language with the same meaning
336, yield, give or supply
337, adjacent, having a common boundary or edge
338, collaboration, act of working jointly
339, concentrate, make denser, stronger, or purer
340, conducive, tending to bring about; being partly responsible for
341, hamper, prevent the progress or free movement of
342, lobby, a large entrance or reception room or area
343, scrutiny, the act of examining something closely, as for mistakes
344, collaborate, work together on a common enterprise of project
345, collaborative, accomplished by working jointly
346, concentration, the spatial property of being crowded together
347, concentrated, gathered together or made less diffuse
348, disrupt, make a break in
349, option, one of a number of things from which only one can be chosen
350, optional, possible but not necessary; left to personal choice
351, scrutinize, examine carefully for accuracy
352, inscrutable, of an obscure nature
353, agenda, a list of matters to be taken up, as at a meeting
354, conclude, bring to a close
355, goal, the state of affairs that a plan is intended to achieve
356, priority, status established in order of importance or urgency
357, progress, the act of moving forward, as toward a goal
358, adhere, stick to firmly
359, length, the linear extent in space from one end to the other
360, period, an amount of time
361, periodic, happening or recurring at regular intervals
362, prior, earlier in time
363, prioritize, assign a status in order of importance or urgency
364, progression, the act of moving forward, as toward a goal
365, progressive, favoring or promoting progress
366, adherence, the property of sticking together
367, adherent, someone who believes and helps to spread a doctrine
368, conclusion, a position or opinion reached after consideration
369, conclusive, forming an end or termination
370, conform, be similar, be in line with
371, defect, a failing or deficiency
372, enhance, increase
373, garment, an article of clothing
374, inspect, look over carefully
375, inspection, a formal or official examination
376, inspector, an investigator who observes carefully
377, perceptive, of or relating to awareness via the senses
378, repel, force or drive back
379, repellent, serving or tending to cause aversion
380, uniform, clothing of distinctive design worn by members of a group
381, uniformity, the quality of lacking diversity or variation
382, perceive, to become aware of through the senses
383, perception, the process of becoming aware through the senses
384, perceived, detected by instinct or inference
385, response, the speech act of continuing a conversational exchange
386, anxious, causing or fraught with or showing anxiety
387, anxiety, a vague unpleasant emotion in anticipation of a misfortune
388, assume, take to be the case or to be true
389, assumption, the act of taking something for granted
390, experiment, the act of conducting a controlled test or investigation
391, logic, the branch of philosophy that analyzes inference
392, logical, based on known statements or events or conditions
393, respond, show a reaction to something
394, response, the speech act of continuing a conversational exchange
395, respondent, replying
396, responsible, worthy of or requiring trust; held accountable
397, responsibility, the social force that binds you to a course of action
398, supervise, watch and direct
399, ascertain, learn or discover with confidence
400, decade, a period of 10 years
401, decadent, marked by excessive self-indulgence and moral decay
402, decadence, the state of being degenerate in mental or moral qualities
403, examine, observe, check out, and look over carefully or inspect
404, research, a seeking for knowledge
405, researcher, a scientist devoted to systematic investigation
406, solve, find the answer to or understand the meaning of
407, solvent, capable of meeting financial obligations
